metric_id,claim_id,phase,configuration,statistic,value,unit,n,filter,source_paths,derivation,paper_use
c4_1_phase6_baseline_sd_all,C4.1,Phase6,Baseline,population_sd,15.52949488,ms,273,all,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_baseline_sd_exclude_first,C4.1,Phase6,Baseline,population_sd,3.2766837524,ms,272,exclude_first,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_baseline_sd_exclude_last,C4.1,Phase6,Baseline,population_sd,15.2336938548,ms,272,exclude_last,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_baseline_sd_exclude_first_and_last,C4.1,Phase6,Baseline,population_sd,1.05092422511,ms,271,exclude_first_and_last,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_cbp_sd_all,C4.1,Phase6,CBP,population_sd,3.408583408,ms,273,all,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_cbp_sd_exclude_first,C4.1,Phase6,CBP,population_sd,3.39309287758,ms,272,exclude_first,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_cbp_sd_exclude_last,C4.1,Phase6,CBP,population_sd,1.18662429265,ms,272,exclude_last,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_1_phase6_cbp_sd_exclude_first_and_last,C4.1,Phase6,CBP,population_sd,1.12854009325,ms,271,exclude_first_and_last,output/results/runtime_attribution/runtime_attribution.csv,"np.std(neg_sampling_time, ddof=0)",audit_only
c4_3_phase45_bl_pooled_sd_all,C4.3,Phase9-Step4.5,BL,pooled_population_sd,29.4978734511,ms,162,all_batches,output/results/phase9_step4_5/neg_sampling_variance.csv,"np.std(all step values, ddof=0)",audit_only
c4_3_phase45_bl_mean_epoch_sd_complete,C4.3,Phase9-Step4.5,BL,mean_epoch_population_sd,9.23807309853,ms,3,complete_batches_per_epoch_then_mean,output/results/phase9_step4_5/neg_sampling_variance.csv,"mean over epoch-wise np.std(values, ddof=0); partial batch excluded",descriptive_only
c4_3_phase45_bl_mean_epoch_sd_exclude_first,C4.3,Phase9-Step4.5,BL,mean_epoch_population_sd,9.0784899305,ms,3,exclude_first,output/results/phase9_step4_5/neg_sampling_variance.csv,epoch-wise ddof=0 SD after fixed row filter,descriptive_only
c4_3_phase45_bl_mean_epoch_sd_exclude_first_and_last,C4.3,Phase9-Step4.5,BL,mean_epoch_population_sd,9.10892553444,ms,3,exclude_first_and_last,output/results/phase9_step4_5/neg_sampling_variance.csv,epoch-wise ddof=0 SD after fixed row filter,descriptive_only
c4_3_phase45_cbp_pooled_sd_all,C4.3,Phase9-Step4.5,CBP,pooled_population_sd,27.0065301487,ms,162,all_batches,output/results/phase9_step4_5/neg_sampling_variance.csv,"np.std(all step values, ddof=0)",audit_only
c4_3_phase45_cbp_mean_epoch_sd_complete,C4.3,Phase9-Step4.5,CBP,mean_epoch_population_sd,2.45367637529,ms,3,complete_batches_per_epoch_then_mean,output/results/phase9_step4_5/neg_sampling_variance.csv,"mean over epoch-wise np.std(values, ddof=0); partial batch excluded",descriptive_only
c4_3_phase45_cbp_mean_epoch_sd_exclude_first,C4.3,Phase9-Step4.5,CBP,mean_epoch_population_sd,2.47082534569,ms,3,exclude_first,output/results/phase9_step4_5/neg_sampling_variance.csv,epoch-wise ddof=0 SD after fixed row filter,descriptive_only
c4_3_phase45_cbp_mean_epoch_sd_exclude_first_and_last,C4.3,Phase9-Step4.5,CBP,mean_epoch_population_sd,2.47233142599,ms,3,exclude_first_and_last,output/results/phase9_step4_5/neg_sampling_variance.csv,epoch-wise ddof=0 SD after fixed row filter,descriptive_only
c4_7_baseline_within_cv_all,C4.7,IntegrationValidation,Baseline,mean_within_batch_predicted_cost_cv,0.0551874611737,unitless,110,all,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
c4_7_baseline_within_cv_full_batches,C4.7,IntegrationValidation,Baseline,mean_within_batch_predicted_cost_cv,0.05503420124,unitless,108,full_batches,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
c4_7_baseline_within_cv_partial_batches,C4.7,IntegrationValidation,Baseline,mean_within_batch_predicted_cost_cv,0.0634634975912,unitless,2,partial_batches,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
c4_7_cbp_within_cv_all,C4.7,IntegrationValidation,CBP,mean_within_batch_predicted_cost_cv,0.0124359877498,unitless,110,all,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
c4_7_cbp_within_cv_full_batches,C4.7,IntegrationValidation,CBP,mean_within_batch_predicted_cost_cv,0,unitless,108,full_batches,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
c4_7_cbp_within_cv_partial_batches,C4.7,IntegrationValidation,CBP,mean_within_batch_predicted_cost_cv,0.68397932624,unitless,2,partial_batches,output/results/integration_validation/batch_composition.csv,mean(cv_cost),layout_fact_only
